,code,title
284,APG5106,"Understanding, designing and delivering criminal justice policy"
285,APG5107,Digital language: Users and technology
286,APG5109,Family violence prevention practicum
287,APG5110,Ethical issues in human genomics
288,APG5122,Corporate sustainability
289,APG5124,Applying language to personal and professional contexts
290,APG5125,Oxford Criminology Study Tour
291,APG5126,Practice-based research in performing and creative arts
292,APG5127,"Advanced methodologies in philosophical, historical, literary, and cultural studies"
293,APG5128,Cultural tourism and events management
294,APG5129,Evaluation
295,APG5133,Principles of global communications   
296,APG5134,Strategic communications in a digital era  
297,APG5135,Video journalism
298,APG5136,Mindfulness for workplace wellbeing and productivity
299,APG5137,Data analytics in communications 
300,APG5138,Effective crisis communications 
301,APG5140,Guiding principles for professionals engaged in disasters and humanitarian crises
302,APG5154,Researching international relations
303,APG5155,Designing research in the humanities and social sciences
304,APG5170,Social entrepreneurship challenge in the Indo-Pacific
305,APG5180,Strategic political leadership and communication
306,APG5181,Intergovernmental relations
307,APG5182,Digital journalism
308,APG5183,International tourism marketing research project
309,APG5184,Video-making as research
310,APG5189,Monitoring and evaluation
311,APG5191,Principles of global communications
312,APG5192,Strategic communications in a digital era
313,APG5193,Data analytics in communications
314,APG5194,Effective crisis communications
315,APG5195,Implementation and service delivery
316,APG5215,Global creative cities
317,APG5229,"Prosperity, poverty and sustainability in a globalised world"
318,APG5230,Field studies in environmental governance
319,APG5324,International political economy
320,APG5327,Political violence
321,APG5332,Contemporary security topics
322,APG5347,Research methods in applied linguistics
323,APG5348,Second language acquisition
324,APG5349,World Englishes
325,APG5352,Photography
326,APG5354,Indigenous peoples and the state
327,APG5365,Principles of global media and communications
328,APG5366,Strategic communications in a digital era
329,APG5367,"Campaigns, advocacy and change"
330,APG5369,Industry communications field school
331,APG5373,Engaging audiences
332,APG5374,Data analytics in communications
333,APG5380,Public relations in a global context
334,APG5381,Crisis communications and issues management
335,APG5389,Tourism industry and marketing
336,APG5390,Contemporary tourism and development in emerging economies
337,APG5393,Ethical theory
338,APG5394,Ethics of life and death
339,APG5397,Media and social change
340,APG5398,Digital media futures
341,APG5400,Issues in international communications
342,APG5401,Global media industries
343,APG5426,Environmental analysis
344,APG5428,Environmental governance and citizenship
345,APG5433,Corporate sustainability management
346,APG5434,Sustainability measurement
347,APG5450,Cultural policy
348,APG5451,Cultural economy in practice
349,APG5452,"Cultural events, exhibitions and festivals"
350,APG5453,Screen cities: Creative contexts
351,APG5454,Screen and social justice
352,APG5455,"Understanding the screen brain, AI and data futures"
353,APG5456,Understanding media audiences
354,APG5457,Digital cultures and platforms
355,APG5458,"Digital technology, policy and governance"
356,APG5470,Managing multicultural teams
357,APG5471,Leadership in intercultural environments
358,APG5481,Language for professional purposes part 1
359,APG5482,Language for professional purposes part 2
360,APG5483,Language for professional purposes part 3
361,APG5485,Research portfolio
362,APG5486,Ethics of human reproduction
363,APG5547,Broadcast
364,APG5553,Field studies in sustainable development
365,APG5555,Digital tourism economy
366,APG5566,Strategic events management
367,APG5590,Political Islam
368,APG5601,Medical and scientific translation 
369,APG5602,Legal and financial translation
370,APG5603,Translating in global markets
371,APG5604,Professional translation practices
372,APG5605,Specialised health interpreting
373,APG5606,Specialised legal interpreting
374,APG5608,Translating literary and cultural narratives 
375,APG5609,Sustainable tourism development and planning
376,APG5611,Screen translation
377,APG5616,Conference interpreting
378,APG5619,Community resilience and disaster risk reduction 
379,APG5627,Political ecology: Critical explanations of socio-environmental problems
380,APG5628,Deconstructing development
381,APG5640,"Media, law and ethics"
382,APG5642,Investigative and data journalism
383,APG5652,Language and intercultural communication
384,APG5653,International journalism field school
385,APG5662,Cultural and creative industries
386,APG5666,"Terrorism, counter-terrorism and technology"
387,APG5667,"Terrorism, fringe politics and extremist violence"
388,APG5677,Professional ethics
389,APG5704,Discourse analysis: Texts and talk
390,APG5717,Applied industry research and data analytics
391,APG5729,Clinical ethics
392,APG5730,"Bioethics, public policy, and the law"
393,APG5742,Industry project
394,APG5746,Reading and writing international relations
395,APG5752,Media and communications field trip
396,APG5782,Film festivals in local and international contexts
397,APG5805,Project planning and management in international development
398,APG5848,Research thesis
399,APG5849,Research thesis A
400,APG5850,Research thesis B
401,APG5856,Research project
402,APG5875,Introduction to translation studies
403,APG5876,Online collaborative translation practices
404,APG5881,Translation studies abroad 1
405,APG5882,Translation studies abroad 2
406,APG5883,Major translation project
407,APG5885,Advanced interpreting
408,APG5966,Academic and professional presentation skills
409,APG5967,Professional enhancement A
410,APG5968,Professional enhancement B
411,APG5969,Advanced simulation
412,APG5990,Managing public sector organisations
413,APG5993,Designing public policies and programs
414,APG5995,Governing by the rules
415,APG5998,Public financial management
416,APR6035,"Advanced research methodologies in media, film and journalism"
417,APR6050,Doing media and communications research
418,APR6100,"Film, media and communication studies: The state of the fields"
419,APR6155,Designing research in the humanities and social sciences
420,APR6652,Language and intercultural communication
421,ARC1001,Foundation studio 1
422,ARC1002,Foundation studio 2
423,ARC1102,Architectural performance 1
424,ARC1301,Architecture communications 1
425,ARC2001,Architecture design studio 3
426,ARC2002,Architecture design studio 4
427,ARC2101,Architectural performance 2
428,ARC2301,Architecture communications 2
429,ARC2401,Contemporary architecture
430,ARC2402,19th and 20th century architecture
431,ARC3001,Architecture design studio 5
432,ARC3002,Architecture design studio 6
433,ARC3101,Architectural performance 3
434,ARC3102,Architectural performance 4: integrated design and professional studies
435,ARC3401,Architecture and the city
436,ARC3501,Advanced studies in architecture A
437,ARC3502,Advanced studies in architecture B
438,ARC4001,Advanced architecture project 1
439,ARC4002,Advanced architecture project 2
440,ARC4031,Transition architecture studio 1
441,ARC4032,Transition architecture studio 2
442,ARC4130,Architectural performance
443,ARC4501,Advanced architecture studies 1
444,ARC4502,Advanced architecture studies 2
445,ARC5001,Advanced architecture project 3
446,ARC5002,Final architecture project
447,ARC5201,Professional practices
448,ARC5401,Architecture research
449,ARC5501,Advanced architecture studies 3
450,ARC5502,Advanced architecture studies 4
451,ARU0010,Research in anthropology
452,ARU0030,Research in archaeology and ancient history
453,ARU0035,Research in arts at Monash Malaysia
454,ARU0060,Research in Australian Indigenous studies
455,ARU0080,Research in bioethics
456,ARU0090,Research in Chinese studies
457,ARU0097,Research in communications and media studies
458,ARU0110,Research in literary studies
459,ARU0115,Research in creative writing
460,ARU0120,Research in criminology
461,ARU0144,Research internship
462,ARU0150,Research in theatre and performance studies
463,ARU0162,Research in English as an international language
464,ARU0185,Research in film and television studies
465,ARU0190,Research in French studies
466,ARU0211,Research in human geography (SPS)
467,ARU0220,Research in German studies
468,ARU0221,Research in arts at Monash South Africa
469,ARU0240,Research in Spanish & Latin America
470,ARU0250,Research in history
471,ARU0270,Research in Indonesian studies
472,ARU0274,Research in integrated water management
473,ARU0280,Research in international relations
474,ARU0290,Research in Italian studies
475,ARU0300,Research in Japanese studies
476,ARU0303,Research in Jewish studies
477,ARU0307,Research in journalism
478,ARU0310,Research in Korean studies
479,ARU0320,Research in linguistics
480,ARU0330,Research in musicology/ethnomusicology
481,ARU0340,Research in music composition
482,ARU0350,Research in music performance
483,ARU0360,Research in philosophy
484,ARU0370,Research in politics
485,ARU0390,Research in religion and theology
486,ARU0420,Research in sociology
487,ARU0428,Research in theatre performance
488,ARU0430,Research in tourism
489,ARU0435,Research in translation studies
490,ARU0438,Research in Ukrainian studies
491,ARU0450,Research in gender studies
492,ASC5001,Fundamentals of addiction science and addiction policy
493,ASC5002,Sociocultural perspectives of addiction
494,ASC5003,"Addiction policies, prevention and public health"
495,ASC5004,"Screening, assessment and brief interventions for addictive behaviours"
496,ASC5007,Recovery principles
497,ASC5008,Co-occurring disorders in mental health and addiction
498,ASC5009,"Developmental factors: Children and families, youth and early interventions"
499,ASC5010,"Gambling, gaming and other behavioural addictions"
500,ASP1010,Earth to cosmos - introductory astronomy
501,ASP1022,Life in the universe - astrobiology
502,ASP2011,Astronomy
503,ASP2062,Introduction to astrophysics
504,ASP3012,Stars and galaxies
505,ASP3051,Relativity and cosmology
506,ASP3162,Computational astrophysics and the extreme universe
507,ASP3231,Observational astronomy
508,ASP4000,Astrophysics research project
509,ASP4001,Astrophysics research project A
510,ASP4002,Astrophysics research project B
511,ASP4020,Astrophysics coursework A
512,ASP4021,Astrophysics coursework B
513,ASP4100,Astrophysics honours research project
514,ASP4110,Astrophysics honours research project A
515,ASP4120,Astrophysics honours research project B
516,ASP4200,Astrophysics honours coursework
517,ASP4210,Astrophysics honours coursework A
518,ASP4220,Astrophysics honours coursework B
519,ASP5000,Advanced astrophysics research project
520,ASP5001,Advanced astrophysics research project A
521,ASP5002,Advanced astrophysics research project B
522,ASP5020,Advanced astrophysics coursework A
523,ASP5021,Advanced astrophysics coursework B
524,ATI5020,Policy advocacy and communication
525,ATI5021,Special issues in public policy
526,ATI5044,Professional internship
527,ATI5061,South East Asian creative economy
528,ATI5067,Sustainable cultural development
529,ATI5068,Creative cities
530,ATI5081,Comparative health policy and politics
531,ATI5082,Creative entrepreneurship in cultural industries
532,ATI5083,Digital technology and public policy
533,ATI5084,Designing research
534,ATI5101,Foundations of public policy
